group_type,group,condition,prompt,n,prevalence,accuracy,accuracy_ci_low,accuracy_ci_high,precision,recall,specificity,f1,balanced_accuracy,tp,tn,fp,fn
cancer,Rectal cancer,non_rag,patient_education,11,0.909091,0.545455,0.280092,0.787287,1.000000,0.500000,1.000000,0.666667,0.750000,5,1,0,5
cancer,Acute Lymphoblastic Leukemia (ALL),rag,basic,10,0.900000,0.700000,0.396778,0.892209,0.875000,0.777778,0.000000,0.823529,0.388889,7,0,1,2
cancer,Acute Lymphoblastic Leukemia (ALL),rag,oncology_expert,10,0.900000,0.700000,0.396778,0.892209,0.875000,0.777778,0.000000,0.823529,0.388889,7,0,1,2
cancer,Acute Lymphoblastic Leukemia (ALL),rag,patient_education,10,0.900000,0.700000,0.396778,0.892209,0.875000,0.777778,0.000000,0.823529,0.388889,7,0,1,2
cancer,Acute Lymphoblastic Leukemia (ALL),non_rag,basic,10,0.900000,0.600000,0.312674,0.831820,0.857143,0.666667,0.000000,0.750000,0.333333,6,0,1,3
cancer,Acute Lymphoblastic Leukemia (ALL),non_rag,oncology_expert,10,0.900000,0.600000,0.312674,0.831820,0.857143,0.666667,0.000000,0.750000,0.333333,6,0,1,3
cancer,Acute Lymphoblastic Leukemia (ALL),non_rag,patient_education,10,0.900000,0.600000,0.312674,0.831820,0.857143,0.666667,0.000000,0.750000,0.333333,6,0,1,3
cancer,Chronic Myelogenous Leukemia (CML),rag,basic,10,1.000000,0.600000,0.312674,0.831820,1.000000,0.600000,,0.750000,,6,0,0,4
cancer,Chronic Myelogenous Leukemia (CML),rag,oncology_expert,10,1.000000,0.600000,0.312674,0.831820,1.000000,0.600000,,0.750000,,6,0,0,4
cancer,Chronic Myelogenous Leukemia (CML),rag,patient_education,10,1.000000,0.600000,0.312674,0.831820,1.000000,0.600000,,0.750000,,6,0,0,4
cancer,Chronic Myelogenous Leukemia (CML),non_rag,basic,10,1.000000,0.600000,0.312674,0.831820,1.000000,0.600000,,0.750000,,6,0,0,4
cancer,Chronic Myelogenous Leukemia (CML),non_rag,oncology_expert,10,1.000000,0.700000,0.396778,0.892209,1.000000,0.700000,,0.823529,,7,0,0,3
cancer,Chronic Myelogenous Leukemia (CML),non_rag,patient_education,10,1.000000,0.700000,0.396778,0.892209,1.000000,0.700000,,0.823529,,7,0,0,3
cancer,Ovarian Germ Cell Tumors,rag,basic,10,0.500000,0.500000,0.236593,0.763407,0.500000,1.000000,0.000000,0.666667,0.500000,5,0,5,0
cancer,Ovarian Germ Cell Tumors,rag,oncology_expert,10,0.500000,0.500000,0.236593,0.763407,0.500000,1.000000,0.000000,0.666667,0.500000,5,0,5,0
cancer,Ovarian Germ Cell Tumors,rag,patient_education,10,0.500000,0.500000,0.236593,0.763407,0.500000,1.000000,0.000000,0.666667,0.500000,5,0,5,0
cancer,Ovarian Germ Cell Tumors,non_rag,basic,10,0.500000,0.600000,0.312674,0.831820,0.555556,1.000000,0.200000,0.714286,0.600000,5,1,4,0
cancer,Ovarian Germ Cell Tumors,non_rag,oncology_expert,10,0.500000,0.600000,0.312674,0.831820,0.555556,1.000000,0.200000,0.714286,0.600000,5,1,4,0
cancer,Ovarian Germ Cell Tumors,non_rag,patient_education,10,0.500000,0.600000,0.312674,0.831820,0.555556,1.000000,0.200000,0.714286,0.600000,5,1,4,0
cancer,Penile Cancer,rag,basic,10,0.600000,0.600000,0.312674,0.831820,0.625000,0.833333,0.250000,0.714286,0.541667,5,1,3,1
cancer,Penile Cancer,rag,oncology_expert,10,0.600000,0.500000,0.236593,0.763407,0.555556,0.833333,0.000000,0.666667,0.416667,5,0,4,1
cancer,Penile Cancer,rag,patient_education,10,0.600000,0.600000,0.312674,0.831820,0.600000,1.000000,0.000000,0.750000,0.500000,6,0,4,0
cancer,Penile Cancer,non_rag,basic,10,0.600000,0.600000,0.312674,0.831820,0.666667,0.666667,0.500000,0.666667,0.583333,4,2,2,2
cancer,Penile Cancer,non_rag,oncology_expert,10,0.600000,0.700000,0.396778,0.892209,0.714286,0.833333,0.500000,0.769231,0.666667,5,2,2,1
cancer,Penile Cancer,non_rag,patient_education,10,0.600000,0.700000,0.396778,0.892209,0.714286,0.833333,0.500000,0.769231,0.666667,5,2,2,1
cancer,Primary Central Nervous System (CNS) Lymphoma,rag,basic,10,0.200000,0.500000,0.236593,0.763407,0.285714,1.000000,0.375000,0.444444,0.687500,2,3,5,0
cancer,Primary Central Nervous System (CNS) Lymphoma,rag,oncology_expert,10,0.200000,0.300000,0.107791,0.603222,0.222222,1.000000,0.125000,0.363636,0.562500,2,1,7,0
cancer,Primary Central Nervous System (CNS) Lymphoma,rag,patient_education,10,0.200000,0.300000,0.107791,0.603222,0.222222,1.000000,0.125000,0.363636,0.562500,2,1,7,0
cancer,Primary Central Nervous System (CNS) Lymphoma,non_rag,basic,10,0.200000,0.700000,0.396778,0.892209,0.400000,1.000000,0.625000,0.571429,0.812500,2,5,3,0
cancer,Primary Central Nervous System (CNS) Lymphoma,non_rag,oncology_expert,10,0.200000,0.600000,0.312674,0.831820,0.333333,1.000000,0.500000,0.500000,0.750000,2,4,4,0
cancer,Primary Central Nervous System (CNS) Lymphoma,non_rag,patient_education,10,0.200000,0.600000,0.312674,0.831820,0.333333,1.000000,0.500000,0.500000,0.750000,2,4,4,0
cancer,Retinoblastoma,rag,basic,10,0.400000,0.600000,0.312674,0.831820,0.500000,0.750000,0.500000,0.600000,0.625000,3,3,3,1
cancer,Retinoblastoma,rag,oncology_expert,10,0.400000,0.500000,0.236593,0.763407,0.428571,0.750000,0.333333,0.545455,0.541667,3,2,4,1
cancer,Retinoblastoma,rag,patient_education,10,0.400000,0.400000,0.168180,0.687326,0.333333,0.500000,0.333333,0.400000,0.416667,2,2,4,2
cancer,Retinoblastoma,non_rag,basic,10,0.400000,0.500000,0.236593,0.763407,0.333333,0.250000,0.666667,0.285714,0.458333,1,4,2,3
cancer,Retinoblastoma,non_rag,oncology_expert,10,0.400000,0.600000,0.312674,0.831820,0.500000,0.750000,0.500000,0.600000,0.625000,3,3,3,1
cancer,Retinoblastoma,non_rag,patient_education,10,0.400000,0.600000,0.312674,0.831820,0.500000,0.500000,0.666667,0.500000,0.583333,2,4,2,2
cancer,Vaginal Cancer,rag,basic,10,1.000000,0.800000,0.490162,0.943318,1.000000,0.800000,,0.888889,,8,0,0,2
cancer,Vaginal Cancer,rag,oncology_expert,10,1.000000,0.800000,0.490162,0.943318,1.000000,0.800000,,0.888889,,8,0,0,2
cancer,Vaginal Cancer,rag,patient_education,10,1.000000,0.800000,0.490162,0.943318,1.000000,0.800000,,0.888889,,8,0,0,2
cancer,Vaginal Cancer,non_rag,basic,10,1.000000,0.800000,0.490162,0.943318,1.000000,0.800000,,0.888889,,8,0,0,2
cancer,Vaginal Cancer,non_rag,oncology_expert,10,1.000000,0.800000,0.490162,0.943318,1.000000,0.800000,,0.888889,,8,0,0,2
cancer,Vaginal Cancer,non_rag,patient_education,10,1.000000,0.800000,0.490162,0.943318,1.000000,0.800000,,0.888889,,8,0,0,2
cancer,"Astrocytomas, Childhood (Brain Cancer)",rag,basic,9,1.000000,0.888889,0.565000,0.980109,1.000000,0.888889,,0.941176,,8,0,0,1
cancer,"Astrocytomas, Childhood (Brain Cancer)",rag,oncology_expert,9,1.000000,0.888889,0.565000,0.980109,1.000000,0.888889,,0.941176,,8,0,0,1
cancer,"Astrocytomas, Childhood (Brain Cancer)",rag,patient_education,9,1.000000,0.888889,0.565000,0.980109,1.000000,0.888889,,0.941176,,8,0,0,1
cancer,"Astrocytomas, Childhood (Brain Cancer)",non_rag,basic,9,1.000000,0.888889,0.565000,0.980109,1.000000,0.888889,,0.941176,,8,0,0,1
cancer,"Astrocytomas, Childhood (Brain Cancer)",non_rag,oncology_expert,9,1.000000,1.000000,0.700855,1.000000,1.000000,1.000000,,1.000000,,9,0,0,0
cancer,"Astrocytomas, Childhood (Brain Cancer)",non_rag,patient_education,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,Cervical cancer,rag,basic,9,1.000000,0.777778,0.452589,0.936775,1.000000,0.777778,,0.875000,,7,0,0,2
cancer,Cervical cancer,rag,oncology_expert,9,1.000000,0.888889,0.565000,0.980109,1.000000,0.888889,,0.941176,,8,0,0,1
cancer,Cervical cancer,rag,patient_education,9,1.000000,0.888889,0.565000,0.980109,1.000000,0.888889,,0.941176,,8,0,0,1
cancer,Cervical cancer,non_rag,basic,9,1.000000,0.777778,0.452589,0.936775,1.000000,0.777778,,0.875000,,7,0,0,2
cancer,Cervical cancer,non_rag,oncology_expert,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,Cervical cancer,non_rag,patient_education,9,1.000000,0.777778,0.452589,0.936775,1.000000,0.777778,,0.875000,,7,0,0,2
cancer,Chronic Lymphocytic Leukemia (CLL),rag,basic,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,Chronic Lymphocytic Leukemia (CLL),rag,oncology_expert,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,Chronic Lymphocytic Leukemia (CLL),rag,patient_education,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,Chronic Lymphocytic Leukemia (CLL),non_rag,basic,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,Chronic Lymphocytic Leukemia (CLL),non_rag,oncology_expert,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,Chronic Lymphocytic Leukemia (CLL),non_rag,patient_education,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,Hepatocellular (Liver) Cancer,rag,basic,9,0.555556,0.666667,0.354202,0.879416,0.666667,0.800000,0.500000,0.727273,0.650000,4,2,2,1
cancer,Hepatocellular (Liver) Cancer,rag,oncology_expert,9,0.555556,0.555556,0.266651,0.811221,0.571429,0.800000,0.250000,0.666667,0.525000,4,1,3,1
cancer,Hepatocellular (Liver) Cancer,rag,patient_education,9,0.555556,0.777778,0.452589,0.936775,0.714286,1.000000,0.500000,0.833333,0.750000,5,2,2,0
cancer,Hepatocellular (Liver) Cancer,non_rag,basic,9,0.555556,0.555556,0.266651,0.811221,0.600000,0.600000,0.500000,0.600000,0.550000,3,2,2,2
cancer,Hepatocellular (Liver) Cancer,non_rag,oncology_expert,9,0.555556,0.777778,0.452589,0.936775,0.800000,0.800000,0.750000,0.800000,0.775000,4,3,1,1
cancer,Hepatocellular (Liver) Cancer,non_rag,patient_education,9,0.555556,0.555556,0.266651,0.811221,0.600000,0.600000,0.500000,0.600000,0.550000,3,2,2,2
cancer,"Myelogenous Leukemia, Chronic (CML)",rag,basic,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,"Myelogenous Leukemia, Chronic (CML)",rag,oncology_expert,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,"Myelogenous Leukemia, Chronic (CML)",rag,patient_education,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,"Myelogenous Leukemia, Chronic (CML)",non_rag,basic,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,"Myelogenous Leukemia, Chronic (CML)",non_rag,oncology_expert,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,"Myelogenous Leukemia, Chronic (CML)",non_rag,patient_education,9,1.000000,0.777778,0.452589,0.936775,1.000000,0.777778,,0.875000,,7,0,0,2
cancer,Ovarian cancer,rag,basic,9,1.000000,0.888889,0.565000,0.980109,1.000000,0.888889,,0.941176,,8,0,0,1
